mu,p,sttc_overall,transition_time,is_epileptic,has_transition
0.1,0.1,0.9970718026161194,3.0,true,false
0.1,0.2,0.9938033819198608,3.0,true,false
0.1,0.7,0.0007631093030795455,3.0,false,false
0.1,1.0,0.0007873644935898483,3.0,false,false
0.5,0.1,0.9971491098403931,3.0,true,false
0.5,0.2,0.9936679601669312,3.0,true,false
0.5,0.7,0.0005535267409868538,3.0,false,false
0.5,1.0,0.0004927427507936954,3.0,false,false
1.0,0.1,0.9843324422836304,3.0,true,false
1.0,0.2,0.0006484641926363111,3.0,false,false
1.0,0.7,0.0005395729094743729,3.0,false,false
1.0,1.0,0.0004297283594496548,3.0,false,false
1.5,0.1,0.9827156662940979,3.0,true,false
1.5,0.2,0.000546779774595052,3.0,false,false
1.5,0.7,0.0005190314259380102,3.0,false,false
1.5,1.0,0.0004307049384806305,3.0,false,false
2.0,0.1,0.001561901532113552,3.0,false,false
2.0,0.2,0.0005404861294664443,3.0,false,false
2.0,0.7,0.00047644818550907075,3.0,false,false
2.0,1.0,0.0004232647188473493,3.0,false,false
5.0,0.1,0.0010995508637279272,3.0,false,false
5.0,0.2,0.0005252691335044801,3.0,false,false
5.0,0.7,0.0004601000982802361,3.0,false,false
5.0,1.0,0.00041543104453012347,3.0,false,false
10.0,0.1,0.0010411677649244666,3.0,false,false
10.0,0.2,0.0004647732712328434,3.0,false,false
10.0,0.7,0.0004713412781711668,3.0,false,false
10.0,1.0,0.00041543104453012347,3.0,false,false
