mu,p,sttc_overall,transition_time,is_epileptic,has_transition
0.1,0.1,0.0005531490314751863,3.0,false,false
0.1,0.2,0.0006277331267483532,3.0,false,false
0.1,0.7,0.0007379822200164199,3.0,false,false
0.1,1.0,0.0006114172865636647,3.0,false,false
0.5,0.1,0.0004970721201971173,3.0,false,false
0.5,0.2,0.0006788535392843187,3.0,false,false
0.5,0.7,0.0006833847146481276,3.0,false,false
0.5,1.0,0.0005808250862173736,3.0,false,false
1.0,0.1,0.000498632260132581,3.0,false,false
1.0,0.2,0.0006683397223241627,3.0,false,false
1.0,0.7,0.0007080784416757524,3.0,false,false
1.0,1.0,0.0005072096246294677,3.0,false,false
1.5,0.1,0.0004971806774847209,3.0,false,false
1.5,0.2,0.0006680901860818267,3.0,false,false
1.5,0.7,0.0006557370070368052,3.0,false,false
1.5,1.0,0.0005079100956209004,3.0,false,false
2.0,0.1,0.0004912656149826944,3.0,false,false
2.0,0.2,0.0006511863321065903,3.0,false,false
2.0,0.7,0.0006320456159301102,3.0,false,false
2.0,1.0,0.0005094136577099562,3.0,false,false
5.0,0.1,0.0004724834579974413,3.0,false,false
5.0,0.2,0.0006331059848889709,3.0,false,false
5.0,0.7,0.0006220622453838587,3.0,false,false
5.0,1.0,0.0005119846318848431,3.0,false,false
10.0,0.1,0.0004589961899910122,3.0,false,false
10.0,0.2,0.0006300776149146259,3.0,false,false
10.0,0.7,0.0005965342279523611,3.0,false,false
10.0,1.0,0.0005114283412694931,3.0,false,false
