mu,p,sttc_overall,transition_time,is_epileptic,has_transition
0.1,0.1,0.0011917471420019865,3.0,false,false
0.1,0.2,0.0011863971594721079,3.0,false,false
0.1,0.7,0.0011136557441204786,3.0,false,false
0.1,1.0,0.0011031475150957704,3.0,false,false
0.5,0.1,0.0012173193972557783,3.0,false,false
0.5,0.2,0.0011252207914367318,3.0,false,false
0.5,0.7,0.0008843005052767694,3.0,false,false
0.5,1.0,0.0010245973244309425,3.0,false,false
1.0,0.1,0.001126815564930439,3.0,false,false
1.0,0.2,0.001006035483442247,3.0,false,false
1.0,0.7,0.0009933622786775231,3.0,false,false
1.0,1.0,0.0011619594879448414,3.0,false,false
1.5,0.1,0.001061402028426528,3.0,false,false
1.5,0.2,0.0010406823130324483,3.0,false,false
1.5,0.7,0.0011165596079081297,3.0,false,false
1.5,1.0,0.0008958562393672764,3.0,false,false
2.0,0.1,0.0010646939044818282,3.0,false,false
2.0,0.2,0.0010112769668921828,3.0,false,false
2.0,0.7,0.0009047984494827688,3.0,false,false
2.0,1.0,0.0008384495740756392,3.0,false,false
5.0,0.1,0.0009899286087602377,3.0,false,false
5.0,0.2,0.0008449533488601446,3.0,false,false
5.0,0.7,0.0008149220957420766,3.0,false,false
5.0,1.0,0.0008397983619943261,3.0,false,false
10.0,0.1,0.0010477022733539343,3.0,false,false
10.0,0.2,0.0008603560272604227,3.0,false,false
10.0,0.7,0.0008215434500016272,3.0,false,false
10.0,1.0,0.000843311776407063,3.0,false,false
