mu,p,sttc
0.1,0.1,0.0006189671
0.1,0.2,0.0005720238
0.1,0.7,0.0005530358
0.1,1.0,0.00066018733
0.5,0.1,0.0006189671
0.5,0.2,0.00055860315
0.5,0.7,0.00049478596
0.5,1.0,0.00068940764
1.0,0.1,0.0006112438
1.0,0.2,0.000534756
1.0,0.7,0.00048344303
1.0,1.0,0.0005637715
1.5,0.1,0.00061251695
1.5,0.2,0.000534756
1.5,0.7,0.00047554367
1.5,1.0,0.0005445508
2.0,0.1,0.00061251695
2.0,0.2,0.0005012218
2.0,0.7,0.0004681498
2.0,1.0,0.00054454344
5.0,0.1,0.0006600341
5.0,0.2,0.00052695913
5.0,0.7,0.00045972486
5.0,1.0,0.0004932053
10.0,0.1,0.0006613006
10.0,0.2,0.0005046839
10.0,0.7,0.0004713532
10.0,1.0,0.0004289263
