mu,p,sttc
0.1,0.1,0.0008223612
0.1,0.2,0.00082379923
0.1,0.7,0.00076511153
0.1,1.0,0.00075370667
0.5,0.1,0.00079384056
0.5,0.2,0.0007744953
0.5,0.7,0.00069167145
0.5,1.0,0.0006817469
1.0,0.1,0.0007448825
1.0,0.2,0.000734299
1.0,0.7,0.000681164
1.0,1.0,0.0006955363
1.5,0.1,0.00074172555
1.5,0.2,0.00074081874
1.5,0.7,0.0006721228
1.5,1.0,0.0006481248
2.0,0.1,0.0007382189
2.0,0.2,0.0007378252
2.0,0.7,0.00063018163
2.0,1.0,0.0006110781
5.0,0.1,0.00075557985
5.0,0.2,0.0007132715
5.0,0.7,0.0005565516
5.0,1.0,0.00053283747
10.0,0.1,0.00071268436
10.0,0.2,0.00069546694
10.0,0.7,0.00052812597
10.0,1.0,0.00052210945
